Order ID,Created At,Customer ID,Customer Email,Product Title,Variant Title,Quantity,Unit Price,Total Discount,Total,Financial Status,Country,Sales Channel
#4142,2025-06-11 11:34:55,CUST-01517,sofia.hoffmann290@example.com,Linen Throw Blanket,Natural,1,80.07,0.0,80.07,paid,FR,online_store
#3849,2025-06-11 14:06:55,CUST-00427,liam.schwarz191@example.com,Organic Cotton Tote,Cream,1,15.22,0.0,15.22,paid,AT,online_store
#3892,2025-06-11 17:56:10,CUST-00452,luis.schmidt71@example.com,Botanical Print A3,Fern,1,27.35,0.0,27.35,paid,CH,draft_order
#1832,2025-06-11 18:56:34,CUST-00919,ben.mueller131@example.com,Stoneware Dinner Plate Set,Set of 6,1,94.48,0.0,94.48,paid,GB,online_store
#4057,2025-06-11 21:29:37,CUST-01155,erik.becker768@example.com,Merino Wool Beanie,Oat,1,32.24,0.0,32.24,paid,GB,online_store
#3198,2025-06-12 08:10:27,CUST-01125,emma.richter228@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.49,0.0,23.49,paid,FR,online_store
#1462,2025-06-12 11:12:51,CUST-01560,felix.wagner701@example.com,Soy Wax Candle — Cedar,Single,1,23.57,0.0,23.57,pending,AT,pos
#3599,2025-06-12 11:14:53,CUST-00454,ben.neumann392@example.com,Botanical Print A3,Eucalyptus,2,27.79,0.0,55.58,paid,US,online_store
#3340,2025-06-12 13:09:20,CUST-00037,jonas.fischer881@example.com,Aurora Ceramic Mug,Sage / 350ml,1,18.3,0.0,18.3,paid,DE,instagram
#2690,2025-06-12 13:28:24,CUST-01603,julia.hartmann102@example.com,Merino Wool Beanie,Oat,1,32.07,0.0,32.07,paid,DE,online_store
#2690,2025-06-12 13:28:24,CUST-01603,julia.hartmann102@example.com,Linen Throw Blanket,Rust,1,81.03,0.0,81.03,paid,DE,online_store
#4185,2025-06-12 14:05:29,CUST-01655,noah.becker282@example.com,Soy Wax Candle — Cedar,Single,1,24.26,4.55,19.71,paid,FR,draft_order
#2259,2025-06-12 14:43:38,CUST-01544,tom.krueger276@example.com,Soy Wax Candle — Cedar,Single,1,23.49,5.71,17.78,paid,GB,online_store
#2259,2025-06-12 14:43:38,CUST-01544,tom.krueger276@example.com,Botanical Print A3,Fern,1,27.44,6.59,20.85,paid,GB,online_store
#3394,2025-06-12 17:33:20,CUST-00984,paul.wagner703@example.com,Walnut Serving Board,Small,2,54.84,0.0,109.68,paid,DE,instagram
#3394,2025-06-12 17:33:20,CUST-00984,paul.wagner703@example.com,Soy Wax Candle — Cedar,Single,1,24.29,0.0,24.29,paid,DE,instagram
#2524,2025-06-12 19:21:14,CUST-00034,max.krueger463@example.com,Merino Wool Beanie,Oat,1,31.32,0.0,31.32,PAID,DE,online_store
#3075,2025-06-13 15:23:07,CUST-00639,felix.wolf468@example.com,Organic Cotton Tote,Navy,1,15.38,0.0,15.38,paid,DE,online_store
#1279,2025-06-13 15:35:43,CUST-00624,marie.schmidt760@example.com,Linen Throw Blanket,Charcoal,2,78.47,0.0,156.94,paid,GB,online_store
#3390,2025-06-13 17:28:03,CUST-00484,tom.wolf380@example.com,Aurora Ceramic Mug,Sage / 350ml,1,17.67,0.0,17.67,paid,DE,online_store
#3318,2025-06-13 18:28:58,CUST-00757,emma.hartmann266@example.com,Organic Cotton Tote,Navy,1,14.94,0.0,14.94,pending,AT,online_store
#1101,2025-06-13 19:07:12,CUST-00430,tom.wagner480@example.com,Stoneware Dinner Plate Set,Set of 4,2,98.65,48.82,148.48,paid,,online_store
#1862,2025-06-14 17:21:34,CUST-00485,liam.koch17@example.com,Stoneware Dinner Plate Set,Set of 6,1,93.62,14.06,79.56,pending,DE,pos
#1862,2025-06-14 17:21:34,CUST-00485,liam.koch17@example.com,Soy Wax Candle — Cedar,Single,2,23.62,8.18,39.06,pending,DE,pos
#3994,2025-06-14 17:41:11,CUST-00877,mia.neumann109@example.com,Soy Wax Candle — Cedar,Single,1,24.63,5.21,19.42,paid,DE,online_store
#4424,2025-06-14 19:27:27,CUST-00703,anna.becker165@example.com,Soy Wax Candle — Cedar,Single,3,23.74,0.0,71.22,paid,FR,online_store
#4424,2025-06-14 19:27:27,CUST-00703,anna.becker165@example.com,Brass Pour-Over Stand,Standard,2,67.54,0.0,135.08,paid,FR,online_store
#4424,2025-06-14 19:27:27,CUST-00703,anna.becker165@example.com,Walnut Serving Board,Small,1,54.09,0.0,54.09,paid,FR,online_store
#1332,2025-06-14 23:51:26,CUST-00634,lena.becker879@example.com,Organic Cotton Tote,Cream,2,14.82,0.0,29.64,refunded,DE,pos
#3757,2025-06-15 06:22:55,CUST-00129,max.braun71@example.com,Recycled Glass Vase,Smoke,1,41.21,0.0,41.21,paid,US,online_store
#2006,2025-06-15 12:00:57,CUST-00104,julia.braun562@example.com,Soy Wax Candle — Cedar,Single,2,24.32,0.0,48.64,paid,US,online_store
#1558,2025-06-15 12:11:13,CUST-01353,mia.hoffmann469@example.com,Aurora Ceramic Mug,White / 350ml,1,18.1,0.0,18.1,paid,DE,draft_order
#3043,2025-06-15 12:47:13,CUST-01653,mia.hoffmann555@example.com,Linen Throw Blanket,Charcoal,1,79.04,0.0,79.04,paid,GB,pos
#2419,2025-06-15 14:36:01,CUST-00922,laura.mueller746@example.com,Soy Wax Candle — Cedar,Set of 3,2,24.21,0.0,48.42,paid,GB,online_store
#2586,2025-06-15 14:41:13,CUST-01122,tom.wagner620@example.com,Recycled Glass Vase,Amber,1,41.55,0.0,41.55,paid,US,pos
#2372,2025-06-15 15:00:32,CUST-00769,lena.hoffmann584@example.com,Recycled Glass Vase,Amber,1,41.84,0.0,41.84,paid,AT,instagram
#2372,2025-06-15 15:00:32,CUST-00769,lena.hoffmann584@example.com,Aurora Ceramic Mug,Sage / 350ml,1,17.87,0.0,17.87,paid,AT,instagram
#2372,2025-06-15 15:00:32,CUST-00769,lena.hoffmann584@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.28,0.0,23.28,paid,AT,instagram
#3507,2025-06-15 17:26:08,CUST-00458,emma.mueller475@example.com,Soy Wax Candle — Cedar,Set of 3,1,24.47,0.0,24.47,paid,GB,instagram
#1806,2025-06-15 19:23:39,CUST-01109,laura.mueller972@example.com,Soy Wax Candle — Cedar,Single,1,23.65,0.0,23.65,paid,DE,instagram
#1806,2025-06-15 19:23:39,CUST-01109,laura.mueller972@example.com,Recycled Glass Vase,Amber,1,42.34,0.0,42.34,paid,DE,instagram
#1444,2025-06-15 19:38:19,CUST-00528,laura.wolf390@example.com,Stoneware Dinner Plate Set,Set of 4,1,97.03,0.0,97.03,paid,NL,online_store
#1221,2025-06-16 12:53:16,CUST-01400,max.schmidt543@example.com,Soy Wax Candle — Cedar,Single,1,24.08,3.88,20.2,paid,GB,online_store
